A	Coef.DKOvsDFC	Coef.S3KOvsS3FL	Coef.DKOvsS3KO	Coef.DFCvsS3FL	t.DKOvsDFC	t.S3KOvsS3FL	t.DKOvsS3KO	t.DFCvsS3FL	p.value.DKOvsDFC	p.value.S3KOvsS3FL	p.value.DKOvsS3KO	p.value.DFCvsS3FL	F	F.p.value	Res.DKOvsDFC	Res.S3KOvsS3FL	Res.DKOvsS3KO	Res.DFCvsS3FL
519	2.71443342257261	1.85133074859842	1.14942258475194	1.03440743017244	0.332499266325953	7.02417044360504	4.36104685947608	4.38790953190541	1.15162502946855	6.48950080914564e-05	0.00186656781562783	0.00179549242709503	0.279451595285778	28.4638589292912	6.75816840086541e-05	1	1	1	0
583	3.68885368771134	-0.625209512295745	-0.0550668440930848	0.500443552767239	1.0705862209699	-1.56615670907368	-0.137943050493933	1.40158597586422	2.4481648867379	0.152107923838902	0.893353782758874	0.194912340152933	0.0371335743034302	3.13664418522494	0.0804897550395396	0	0	0	0
586	3.95445612970517	0.379704329476009	0.667684016110547	0.0162736093061877	0.304253295940725	1.46178607578551	2.57045053745327	0.0700450038409056	1.06925906341343	0.178167524283621	0.030410377751413	0.945705377139035	0.31307512821472	3.0925624332755	0.0829265433341601	0	0	0	0
594	2.35201291083156	-0.146861571761798	0.238395582136334	0.567530529820779	0.952787683718911	-0.358459803932923	0.58187606605266	1.54873290821306	2.1229404036968	0.72834897436728	0.575080830534033	0.156208001227692	0.0630552043858812	2.31013566390674	0.145518070912256	0	0	0	0
596	4.8936087196102	-0.325069295408324	-0.264743324848896	0.846945970777123	0.907271941336552	-1.12397419985282	-0.91538841384462	3.27409370811161	2.86369821859618	0.290404956139005	0.384102703110606	0.00975558382526277	0.018862921068396	6.99998567725347	0.010174396647834	0	0	1	0
600	7.45663633565345	0.357979586296547	0.0798306574403274	0.231127652869732	-0.047021275986487	2.29995646082341	0.512898062850888	1.66023004284504	-0.275781506711186	0.047293718314092	0.620501039799723	0.131594099804081	0.789007892497338	2.2628315067622	0.150872072670319	0	0	0	0
601	7.03766497876299	0.367861420202052	0.0347377042323274	0.260553628412597	-0.0725700875571276	2.27840575043515	0.215153263520751	1.80425931777531	-0.410311650782216	0.0489837351427211	0.834493887778669	0.105033521887504	0.691272186498401	2.177541871529	0.161133281681092	0	0	0	0
607	2.59184740950831	0.214303031486154	-0.162927742084243	0.435818701306475	0.0585879277360775	0.574468287085347	-0.436749868934381	1.30616671696595	0.143369000839656	0.579869349100164	0.672689796688688	0.224220298164495	0.889190110324825	0.578703114753462	0.643647380365506	0	0	0	0
608	7.23981782729789	-0.450216535659162	0.0280722865030327	0.580766341021159	1.05905516318335	-1.49341050978065	0.0931184094245285	2.15384380978307	3.2069022351785	0.169884522234704	0.927870561365838	0.059975942622304	0.0108567403633543	5.30122469536454	0.0225871987968957	0	0	0	0
625	2.62833878527976	0.501631179041329	-0.409680683760701	1.38848702830409	0.477175165502057	0.958842109099154	-0.783083483018367	2.9672860130362	0.832625650448206	0.362942809474041	0.453896653168499	0.0159508952208376	0.426818443226258	3.17116576808849	0.0786417102401141	0	0	1	0
626	6.12312052909748	0.325111338349304	0.201368600672154	0.170439613672955	0.0466968759958055	1.97512042603502	1.22335701476624	1.15767595240577	0.258975493196652	0.0800195680440076	0.252575130543997	0.277099127856672	0.801540336786058	2.17413696217077	0.161559949790912	0	0	0	0
628	6.21074945833115	-0.0818628465027915	0.0788301749407028	0.565737696298164	0.726430717741659	-0.310122883022444	0.298634144378802	2.39616706838287	2.51217881191198	0.763601541586788	0.772069589845787	0.0404243320017252	0.0334468663418214	4.01757499939328	0.0459904836073831	0	0	0	0
637	7.00208294068903	0.368208396197707	0.186449253891274	0.378062999877653	0.19630385757122	2.05362187365192	1.03989010047345	2.35746892409661	0.999459050452316	0.0705284647190166	0.325796993077366	0.0430598698388979	0.343951292507997	3.78049542954693	0.0531236229916804	0	0	0	0
639	3.47382003708296	0.418650753062291	0.127710725932765	1.17152652879151	0.880586501661984	1.27003012011265	0.387426673449528	3.97346395843756	2.43861670805514	0.236249965314958	0.707536266328325	0.00330595646242939	0.0377171918117892	7.70294959635689	0.00759110551419363	0	0	1	0
641	8.06096126869488	0.351040127119401	0.175146379932202	0.317664264824774	0.141770517637575	2.2509543152156	1.12308100768401	2.27736837969101	0.829860741292268	0.0512226612787237	0.29076436917076	0.0490665676893439	0.428300021266015	3.85571092228058	0.0507236619966544	0	0	0	0
647	6.13345130855239	0.388267921870855	0.349464959416305	0.0399566084251024	0.00115364597055212	2.10862375201945	1.89789079245345	0.242611401716806	0.00571938738898961	0.0645331444761345	0.0905359405157887	0.813801263806278	0.995562674035351	2.69499080039051	0.109468304928937	0	0	0	0
649	4.81596793892292	-1.08561877529637	-0.568222294839022	0.871647363431252	1.3890438438886	-2.29688231047211	-1.20220814813682	2.0618507484014	2.6827903061682	0.0475312382402377	0.260271298270332	0.0695985430181972	0.0253166430152768	5.85680311810584	0.0171302871297156	0	0	0	0
654	2.18625696240082	-0.637639224670085	-0.250489088862682	0.464895501578919	0.852045637386323	-0.898793165317535	-0.353080350684012	0.732647524630248	1.09636956304312	0.392414141501017	0.732240827330174	0.482608851883679	0.301675820268385	0.840797421382409	0.505367565232714	0	0	0	0
660	7.36905919023261	0.390989809855764	0.257067504030379	0.31311518130714	0.179192875481755	2.64718363702923	1.74046707389178	2.37016053318679	1.10751278010696	0.026830341456283	0.116120316426124	0.0421772663687074	0.297085455959831	5.48999496389978	0.0205226642517158	1	0	0	0
666	6.81420121451518	0.0183473304384005	0.313310427284574	-0.258226972238938	0.036736124607236	0.118676990091482	2.02660210428144	-1.86745544949195	0.216918382242405	0.908164883839411	0.0736665753760563	0.095028660172077	0.833159428773194	1.94518487892287	0.19360932488084	0	0	0	0
