,DFC_126_2_Proteins_norm,DFC_127N_2_Proteins_norm,DKO_127C_2_Proteins_norm,DKO_128N_2_Proteins_norm,DKO_128C_2_Proteins_norm,S3FL_129N_2_Proteins_norm,S3FL_129C_2_Proteins_norm,S3KO_130N_2_Proteins_norm,S3KO_130C_2_Proteins_norm,S3KO_131_2_Proteins_norm
0,403.7770078545137,320.01772870852534,351.39281387846444,321.27847136341506,325.91175219279336,353.9687517731967,357.9133747239194,359.00818741676864,347.29148544999964,507.627756719428
1,193.4854605407435,182.94639120285467,185.50778850564225,165.1754819294879,187.40953215625947,194.54610540119245,188.14139038701975,194.684474780497,173.03467266262447,199.98445685668983
2,73542.03521153383,76367.56499257851,68587.37130124574,76637.21472701125,69296.31845804147,79902.2938494662,67132.34794534661,76998.6487683302,80112.20178250404,78271.35000088523
3,48146.206664957506,44619.5356279907,45599.39513727257,47058.270327669976,46010.99232698833,47973.59735113643,45026.89474788549,47735.88202206296,48502.871440961506,47046.914393643136
4,10488.075459623353,9470.47562250459,14046.173711949012,9054.253979719182,12032.84272471703,10341.650322899497,12958.165752092631,9394.099736996759,9195.789678666091,10439.862875016823
5,6800.539920175074,9793.539380935463,9878.789391616334,8964.090239866393,9505.793687774485,6869.475561744592,11972.115371539077,6603.309267595089,6894.80535879165,5868.494406890302
6,8.079849410108999,5.999755513716224,2.452845391602518,2.057678710333372,4.315351069387554,7.150883874205992,2.4170271118579105,5.529623345855488,7.842065800483864,5.872300527602638
7,1251.9457332650222,1116.9698687920002,1198.3512429862521,1226.470042209159,1227.614632786726,1226.6920645972486,1140.3533913745623,1196.1722954760976,1294.0427020902332,1271.5705568381045
8,19598.051803858514,18200.581414616594,19271.461165067292,19464.237636996648,19165.707056598523,19178.144750335603,18836.472369215542,20252.610668001584,19906.42204196071,19162.404084628077
9,4228.454524623709,3959.5617272597665,4046.2864348880053,4216.370739174017,3953.3753118291643,4213.237682647987,4016.228930147579,4211.069009158853,4146.31406323765,4005.235198743199
10,15037.56933414206,14749.429739196044,15842.474153732588,15173.135748297342,15658.045862364672,14085.663831331201,15247.477151359968,14870.617832228843,14882.916904183225,14624.638225076169
11,1321.540169517428,5228.833082169179,5693.145000035059,5552.084814731785,5470.734944989054,3764.5197195415612,5575.308098380405,1797.336252434953,2468.213826944499,2237.1290084044713
13,2310.190543338365,2264.307730876503,3004.3722202106246,2744.475745332369,2325.9742263998914,2249.2684586087057,2299.7529563905646,2496.468441879814,2460.880986195995,2170.9025080098418
14,106.54628088797067,109.56476607355627,117.82742492253576,103.16452806807766,117.64468986782735,125.35078791255212,121.04471776184417,118.41740561407508,130.9726833691201,109.94251543344937
16,19964.55377310106,18213.596268884812,19283.45285364846,19620.153564729637,19064.604545830014,19936.243601058413,18637.599378451876,19929.910196138735,20543.36073697664,20157.867770362787
17,28911.85581587936,26381.5711213271,27161.44717472206,28440.01923317175,27418.713230348185,29401.595169196757,26867.09328890569,28786.488810911957,29420.88475815556,28200.3095818328
18,397.4208596518946,223.09860117926326,489.47892481312465,263.1958132217321,213.19889211855175,281.828952689295,227.97399719043815,244.55541740915595,261.9453667382402,282.08791793706
19,27489.0482004219,27530.293542376305,26598.74627266332,27479.457398847946,26368.02799140635,28078.050692126806,25849.234831560083,27616.60830945766,28810.222075821774,28343.854705840866
20,10008.994255266625,9473.521652226937,11003.19188835205,9935.127529442805,9462.331937718509,9359.350230708935,10868.11406792686,9350.071415261833,9478.918807566677,9601.537601548513
21,28433.85192477731,26568.948101217004,26645.168642852535,28288.03160115849,26777.986342998167,29746.2046758993,25453.519152806708,28633.224344967395,29759.315727701116,28791.454501611464
22,19956.904848992825,18985.626347603615,18515.348861574414,20415.633447974426,18640.672676489707,19691.220668309885,17870.048248810275,19919.372612026822,20541.018301737535,19466.45875639061
23,153.84033276847535,142.6095733644856,158.61733532362948,139.92215230266925,156.89383530844748,148.90664067464243,133.99998308140255,133.64995294416755,151.85091050027845,130.49556728005862
24,7236.528594344555,7642.3039655097655,8936.169992236048,7409.607505060001,8693.891208005425,6793.55000060964,9306.037786075327,7037.0195364388865,6727.270316690404,6219.418736567593
25,18027.544541184263,18686.65391515859,17092.42599606811,18841.976888821744,16363.092029939373,17996.986990407935,16057.277914916844,19032.233228822875,17529.563189341334,18555.599696775804
26,3060.7546878747567,2823.392640823875,3037.0768254319914,3122.0597886785426,3061.2278514603045,3154.2759089236583,2827.6316776203325,3091.6854454289755,3220.1355386973873,3141.245797043144
27,8218.930551288342,8668.53907014818,10573.489714193534,8563.591138155143,10057.747638839957,7456.689319885273,11458.642131895982,8130.111306146961,7726.675403705315,7583.641146174539
28,7686.737803475829,9576.809750993836,7328.556953354634,8299.647078129654,7231.603674207243,9077.83675819056,7204.094328519213,7997.504678362388,8593.478287184771,8556.159361329177
