Name,Symbol,Gene Symbol,Description,Accession,Entrez,Ensembl,Chromosome,MitoCarta2_List,Matrix,IMS,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,Modifications,Acetyl (K) Count,Acetyl (K) Positions,CrATFL_126_1_Proteins,CrATFL_127N_1_Proteins,CrATFL_127C_1_Proteins,CrATKO_128N_1_Proteins,CrATKO_128C_1_Proteins,CrATKO_129N_1_Proteins,DFC_129C_1_Proteins,DFC_130N_1_Proteins,DKO_130C_1_Proteins,DKO_131_1_Proteins,CrATFL_126_1_Proteins_norm,CrATFL_127N_1_Proteins_norm,CrATFL_127C_1_Proteins_norm,CrATKO_128N_1_Proteins_norm,CrATKO_128C_1_Proteins_norm,CrATKO_129N_1_Proteins_norm,DFC_129C_1_Proteins_norm,DFC_130N_1_Proteins_norm,DKO_130C_1_Proteins_norm,DKO_131_1_Proteins_norm,CrATFL_126_1_Proteins_norm_log2,CrATFL_127N_1_Proteins_norm_log2,CrATFL_127C_1_Proteins_norm_log2,CrATKO_128N_1_Proteins_norm_log2,CrATKO_128C_1_Proteins_norm_log2,CrATKO_129N_1_Proteins_norm_log2,DFC_129C_1_Proteins_norm_log2,DFC_130N_1_Proteins_norm_log2,DKO_130C_1_Proteins_norm_log2,DKO_131_1_Proteins_norm_log2,A,DKOvsDFC_Log2FC,CrATKOvsCrATFL_Log2FC,DKOvsCrATKO_Log2FC,DFCvsCrATFL_Log2FC,DKOvsDFC_t,CrATKOvsCrATFL_t,DKOvsCrATKO_t,DFCvsCrATFL_t,DKOvsDFC_p_value,CrATKOvsCrATFL_p_value,DKOvsCrATKO_p_value,DFCvsCrATFL_p_value,F,F.p.value,DKOvsDFC_significant,CrATKOvsCrATFL_significant,DKOvsCrATKO_significant,DFCvsCrATFL_significant
Titin,Ttn,Ttn,Titin OS=Mus musculus GN=Ttn PE=1 SV=1,A2ASS6,22138,ENSMUSG00000051747.14,2,False,False,False,77,2766,43559,0,4,Acetyl [K1131; K2473; K2502; K2591; K2594; K2698; K2703; K2709; K2714; K2771; K3026; K3167; K3290; K4547; K4571; K5661; K6535; K7600; K8385; K8753; K9307; K9326; K10914; K10920; K12441; K12447; K12702; K12857; K12888; K12905; K12960; K12988; K13043; K13107; K13141; K13289; K13314; K13326; K13364; K13401; K13461; K13466; K13472; K13517; K13719; K13821; K13855; K13866; K13888; K13944; K14192; K14203; K14213; K14393; K14436; K14576; K14782; K14857; K15147; K15284; K15422; K15521; K15635; K15911; K15927; K16134; K16143; K16276; K16843; K16853; K16993; K17122; K17198; K17226; K17230; K17378; K17618; K17683; K17696; K17890; K18085; K18268; K18551; K18568; K18571; K18667; K18764; K18859; K19098; K20049; K20093; K20164; K20174; K20179; K20181; K20223; K20293; K20476; K20495; K20593; K20700; K20772; K20844; K21177; K21185; K21188; K21256; K21315; K21337; K21356; K21458; K21470; K21732; K21774; K21841; K21847; K21904; K22277; K22353; K22412; K22475; K22607; K22633; K22709; K22896; K23360; K23748; K23916; K24069; K24090; K24181; K24188; K24406; K24442; K24626; K24691; K24707; K24725; K24830; K24998; K25111; K25263; K25524; K25571; K25602; K25781; K25885; K25914; K26047; K26335; K26345; K26571; K26586; K26599; K26654; K26856; K27107; K27218; K27460; K27671; K27688; K27751; K27967; K28105; K28163; K28169; K28680; K28754; K28834; K28849; K28865; K28961; K29160; K29221; K29330; K29413; K29663; K29823; K30225; K30569; K30596; K30875; K30906; K30912; K30935; K31144; K31242; K31303; K31314; K31374; K31584; K31620; K31862; K32101; K32219; K32242; K32426; K32613; K32720; K32893; K32918; K32949; K33082; K33188; K33320; K33348; K33422; K33731; K39941; K39941; K51139; K51139; K51139; K51139; K68748; K68748; K68748; K96177; K96177; K96177; K96177; K96177; K116989; K116989; K116989; K116989; K116989; K222410; K222410; K222410],230,Acetyl [K1131; K2473; K2502; K2591; K2594; K2698; K2703; K2709; K2714; K2771; K3026; K3167; K3290; K4547; K4571; K5661; K6535; K7600; K8385; K8753; K9307; K9326; K10914; K10920; K12441; K12447; K12702; K12857; K12888; K12905; K12960; K12988; K13043; K13107; K13141; K13289; K13314; K13326; K13364; K13401; K13461; K13466; K13472; K13517; K13719; K13821; K13855; K13866; K13888; K13944; K14192; K14203; K14213; K14393; K14436; K14576; K14782; K14857; K15147; K15284; K15422; K15521; K15635; K15911; K15927; K16134; K16143; K16276; K16843; K16853; K16993; K17122; K17198; K17226; K17230; K17378; K17618; K17683; K17696; K17890; K18085; K18268; K18551; K18568; K18571; K18667; K18764; K18859; K19098; K20049; K20093; K20164; K20174; K20179; K20181; K20223; K20293; K20476; K20495; K20593; K20700; K20772; K20844; K21177; K21185; K21188; K21256; K21315; K21337; K21356; K21458; K21470; K21732; K21774; K21841; K21847; K21904; K22277; K22353; K22412; K22475; K22607; K22633; K22709; K22896; K23360; K23748; K23916; K24069; K24090; K24181; K24188; K24406; K24442; K24626; K24691; K24707; K24725; K24830; K24998; K25111; K25263; K25524; K25571; K25602; K25781; K25885; K25914; K26047; K26335; K26345; K26571; K26586; K26599; K26654; K26856; K27107; K27218; K27460; K27671; K27688; K27751; K27967; K28105; K28163; K28169; K28680; K28754; K28834; K28849; K28865; K28961; K29160; K29221; K29330; K29413; K29663; K29823; K30225; K30569; K30596; K30875; K30906; K30912; K30935; K31144; K31242; K31303; K31314; K31374; K31584; K31620; K31862; K32101; K32219; K32242; K32426; K32613; K32720; K32893; K32918; K32949; K33082; K33188; K33320; K33348; K33422; K33731; K39941; K39941; K51139; K51139; K51139; K51139; K68748; K68748; K68748; K96177; K96177; K96177; K96177; K96177; K116989; K116989; K116989; K116989; K116989; K222410; K222410; K222410],466.8,702.0,736.4,683.3,648.4,628.5,670.3,612.1,696.8,714.7,586.3560354717054,660.7471771352585,668.0089251723352,667.0665382711172,651.0556849416997,635.9311515119778,645.5262816589744,620.9081829997818,728.5719842257678,680.713032252551,-0.15644295449816248,0.01587846650189384,0.03164748862028155,0.029610784071339324,-0.005438947146153339,-0.03934930790900104,-0.01774405590331085,-0.07383994463333288,0.15685163035206529,0.05882684054437348,9.352076079626,0.153631235716542,0.0312465094640597,0.112898392442821,-0.00948633380966157,1.9103131412215701,0.47585230628248104,1.53781261985385,-0.129215337198289,0.0899557567699355,0.646042239752452,0.160056879694255,0.9001606526666708,1.6226016224235,0.254769469802278,0,0,0,0
Titin,Ttn,,Titin OS=Mus musculus GN=Ttn PE=1 SV=1,E9Q8K5,,ENSMUSG00000051747.14,2,False,False,False,81,2765,43539,0,4,Acetyl [K1131; K2473; K2502; K2591; K2594; K2698; K2703; K2709; K2714; K2771; K3026; K3167; K3290; K3665; K3689; K4779; K5641; K6706; K7491; K7859; K8413; K8432; K10056; K10062; K10829; K10835; K10956; K11111; K11142; K11159; K11214; K11242; K11297; K11361; K11395; K11543; K11568; K11580; K11618; K11655; K11715; K11720; K11726; K11771; K11973; K12075; K12109; K12120; K12142; K12198; K12446; K12457; K12467; K12647; K12690; K12830; K13036; K13111; K13401; K13538; K13676; K13775; K13889; K14165; K14181; K14388; K14397; K14530; K15097; K15107; K15247; K15376; K15452; K15480; K15484; K15632; K15872; K15937; K15950; K16144; K16339; K16522; K16805; K16822; K16825; K16921; K17018; K17113; K17352; K18303; K18347; K18418; K18428; K18433; K18435; K18477; K18547; K18730; K18749; K18847; K18954; K19026; K19098; K19431; K19439; K19442; K19510; K19569; K19591; K19610; K19712; K19724; K19986; K20028; K20095; K20101; K20158; K20531; K20607; K20666; K20729; K20861; K20887; K20963; K21150; K21614; K22002; K22170; K22323; K22344; K22435; K22442; K22660; K22696; K22880; K22945; K22961; K22979; K23084; K23252; K23365; K23517; K23778; K23825; K23856; K24035; K24139; K24168; K24301; K24589; K24599; K24825; K24840; K24853; K24908; K25110; K25361; K25472; K25714; K25925; K25942; K26005; K26221; K26359; K26417; K26423; K26934; K27008; K27088; K27103; K27119; K27215; K27414; K27475; K27584; K27667; K27917; K28077; K28479; K28823; K28850; K29129; K29160; K29166; K29189; K29398; K29496; K29557; K29568; K29628; K29838; K29874; K30116; K30355; K30473; K30496; K30680; K30867; K30974; K31147; K31172; K31203; K31336; K31442; K31574; K31602; K31676; K31985; K36449; K36449; K47647; K47647; K47647; K47647; K63510; K63510; K63510; K89193; K89193; K89193; K89193; K89193; K108259; K108259; K108259; K108259; K108259; K206696; K206696; K206696],230,Acetyl [K1131; K2473; K2502; K2591; K2594; K2698; K2703; K2709; K2714; K2771; K3026; K3167; K3290; K3665; K3689; K4779; K5641; K6706; K7491; K7859; K8413; K8432; K10056; K10062; K10829; K10835; K10956; K11111; K11142; K11159; K11214; K11242; K11297; K11361; K11395; K11543; K11568; K11580; K11618; K11655; K11715; K11720; K11726; K11771; K11973; K12075; K12109; K12120; K12142; K12198; K12446; K12457; K12467; K12647; K12690; K12830; K13036; K13111; K13401; K13538; K13676; K13775; K13889; K14165; K14181; K14388; K14397; K14530; K15097; K15107; K15247; K15376; K15452; K15480; K15484; K15632; K15872; K15937; K15950; K16144; K16339; K16522; K16805; K16822; K16825; K16921; K17018; K17113; K17352; K18303; K18347; K18418; K18428; K18433; K18435; K18477; K18547; K18730; K18749; K18847; K18954; K19026; K19098; K19431; K19439; K19442; K19510; K19569; K19591; K19610; K19712; K19724; K19986; K20028; K20095; K20101; K20158; K20531; K20607; K20666; K20729; K20861; K20887; K20963; K21150; K21614; K22002; K22170; K22323; K22344; K22435; K22442; K22660; K22696; K22880; K22945; K22961; K22979; K23084; K23252; K23365; K23517; K23778; K23825; K23856; K24035; K24139; K24168; K24301; K24589; K24599; K24825; K24840; K24853; K24908; K25110; K25361; K25472; K25714; K25925; K25942; K26005; K26221; K26359; K26417; K26423; K26934; K27008; K27088; K27103; K27119; K27215; K27414; K27475; K27584; K27667; K27917; K28077; K28479; K28823; K28850; K29129; K29160; K29166; K29189; K29398; K29496; K29557; K29568; K29628; K29838; K29874; K30116; K30355; K30473; K30496; K30680; K30867; K30974; K31147; K31172; K31203; K31336; K31442; K31574; K31602; K31676; K31985; K36449; K36449; K47647; K47647; K47647; K47647; K63510; K63510; K63510; K89193; K89193; K89193; K89193; K89193; K108259; K108259; K108259; K108259; K108259; K206696; K206696; K206696],478.2,653.0,762.5,556.1,610.9,602.9,624.5,613.0,639.4,748.0,600.6757844099603,614.6266476770994,691.6849612220337,542.8884851932802,613.4020942795872,610.0284665816569,601.4190107355357,621.8211340938839,668.5547168684786,712.4294782774705,-0.059557538646409114,-0.02643372540876321,0.14397104634282165,-0.20548815875112858,-0.02931095073597767,-0.037267476331631855,-0.05777357106727443,-0.009644392014280356,0.09490159738119353,0.18660316923143938,9.29000023277852,0.174461364847092,-0.110015456035457,0.23144124524589002,-0.0530355756366596,1.87921537601531,-1.4513649285454802,2.7309180747425,-0.6257994851205071,0.0944730222906029,0.18218277995902502,0.0241694330701375,0.5477033869283621,2.6178909078167503,0.118062790312991,0,0,0,0
Myosin-4,Myh4,Myh4,Myosin-4 OS=Mus musculus GN=Myh4 PE=2 SV=1,Q5SX39,17884,ENSMUSG00000057003.12,11,False,False,False,88,324,29494,82,85,Acetyl [K30; K35; K44; K49; K59; K73; K84; K87; K185; K273; K281; K354; K366; K386; K400; K408; K416; K437; K453; K505; K568; K614; K618; K638; K661; K667; K723; K727; K743; K744; K748; K761; K784; K829; K841; K845; K851; K857; K862; K864; K869; K873; K880; K888; K914; K916; K922; K943; K944; K946; K955; K956; K967; K972; K978; K995; K1020; K1026; K1030; K1046; K1047; K1058; K1064; K1077; K1083; K1085; K1097; K1110; K1111; K1169; K1170; K1177; K1199; K1223; K1229; K1244; K1251; K1264; K1266; K1281; K1298; K1320; K1328; K1358; K1378; K1394; K1395; K1414; K1420; K1448; K1455; K1461; K1463; K1476; K1487; K1503; K1532; K1541; K1561; K1573; K1583; K1591; K1620; K1621; K1655; K1672; K1731; K1732; K1733; K1758; K1774; K1775; K1795; K1810; K1818; K1835; K1842; K1863; K1874; K1878; K1899; K1923; K1934],123,Acetyl [K30; K35; K44; K49; K59; K73; K84; K87; K185; K273; K281; K354; K366; K386; K400; K408; K416; K437; K453; K505; K568; K614; K618; K638; K661; K667; K723; K727; K743; K744; K748; K761; K784; K829; K841; K845; K851; K857; K862; K864; K869; K873; K880; K888; K914; K916; K922; K943; K944; K946; K955; K956; K967; K972; K978; K995; K1020; K1026; K1030; K1046; K1047; K1058; K1064; K1077; K1083; K1085; K1097; K1110; K1111; K1169; K1170; K1177; K1199; K1223; K1229; K1244; K1251; K1264; K1266; K1281; K1298; K1320; K1328; K1358; K1378; K1394; K1395; K1414; K1420; K1448; K1455; K1461; K1463; K1476; K1487; K1503; K1532; K1541; K1561; K1573; K1583; K1591; K1620; K1621; K1655; K1672; K1731; K1732; K1733; K1758; K1774; K1775; K1795; K1810; K1818; K1835; K1842; K1863; K1874; K1878; K1899; K1923; K1934],47213.6,70018.8,75549.8,74419.3,66738.3,71960.9,70301.9,72492.3,65259.4,72944.9,59305.8682869471,65904.16587806017,68533.3252240425,72651.28762119092,67011.64345827365,72811.73906259073,67703.60152254373,73535.47177662978,68235.03235847168,69476.06557486931,-0.2057874379400193,-0.053592641222994786,0.002843384239195501,0.08702606366400545,-0.02955051414867782,0.09020876373521602,-0.014729723118069415,0.10447803615063478,-0.0034496842432467645,0.02255375288391903,16.0616746832996,-0.035322122195943,0.134740336058121,-0.0396760700965153,0.13038638815754802,-0.405829367690945,1.89600700909895,-0.499362533441434,1.64104148818787,0.694785708432834,0.0920078516430125,0.630056606477282,0.136801388955937,1.4704184906960702,0.289639967865944,0,0,0,0
Myosin-1,Myh1,Myh1,Myosin-1 OS=Mus musculus GN=Myh1 PE=1 SV=1,Q5SX40,17879,ENSMUSG00000056328.14,11,False,False,False,84,284,20390,32,39,Acetyl [K30; K35; K59; K73; K84; K185; K273; K281; K366; K386; K400; K408; K416; K453; K505; K568; K664; K726; K730; K746; K747; K751; K764; K787; K832; K844; K848; K854; K860; K872; K883; K891; K917; K919; K925; K946; K947; K949; K958; K959; K970; K975; K981; K998; K1023; K1029; K1033; K1049; K1050; K1061; K1067; K1080; K1086; K1088; K1100; K1113; K1114; K1172; K1173; K1180; K1202; K1226; K1247; K1254; K1267; K1301; K1323; K1361; K1381; K1397; K1398; K1423; K1451; K1452; K1464; K1466; K1490; K1506; K1528; K1535; K1576; K1586; K1594; K1624; K1658; K1734; K1735; K1736; K1761; K1777; K1778; K1798; K1813; K1821; K1838; K1866; K1877; K1902; K1926],99,Acetyl [K30; K35; K59; K73; K84; K185; K273; K281; K366; K386; K400; K408; K416; K453; K505; K568; K664; K726; K730; K746; K747; K751; K764; K787; K832; K844; K848; K854; K860; K872; K883; K891; K917; K919; K925; K946; K947; K949; K958; K959; K970; K975; K981; K998; K1023; K1029; K1033; K1049; K1050; K1061; K1067; K1080; K1086; K1088; K1100; K1113; K1114; K1172; K1173; K1180; K1202; K1226; K1247; K1254; K1267; K1301; K1323; K1361; K1381; K1397; K1398; K1423; K1451; K1452; K1464; K1466; K1490; K1506; K1528; K1535; K1576; K1586; K1594; K1624; K1658; K1734; K1735; K1736; K1761; K1777; K1778; K1798; K1813; K1821; K1838; K1866; K1877; K1902; K1926],8449.9,12503.2,10970.5,9725.7,11307.3,8368.4,10883.6,6483.7,10446.5,9995.9,10614.07425906676,11768.453141250091,9951.645727326324,9494.64222342076,11353.611885165454,8467.344866050651,10481.351393500843,6577.001120920904,10922.828979928938,9520.55323785263,0.11577663274005445,0.2647227887148613,0.022805117749104653,-0.04501637170263528,0.21294941544406676,-0.21022035983629195,0.09762282540314793,-0.57470009339605,0.1571446436799775,-0.041084598796244265,13.2579142942096,0.296568656438318,-0.148530618432961,0.0721257944734841,-0.37297348039779404,1.38955268304454,-0.852337087708364,0.37019538508281796,-1.91433678075187,0.19960598847828304,0.41714648384418396,0.7201953271888021,0.0893864677952062,1.2831738316496202,0.34048637738882304,0,0,0,0
"MCG140437, isoform CRA_d",Myh2,Myh2,"MCG140437, isoform CRA_d OS=Mus musculus GN=Myh2 PE=1 SV=1",G3UW82,17882,ENSMUSG00000033196.17,11,False,False,False,83,274,18581,44,44,Acetyl [K84; K185; K273; K281; K366; K386; K408; K416; K453; K505; K568; K664; K726; K746; K747; K751; K764; K787; K832; K844; K848; K872; K883; K917; K919; K925; K946; K947; K949; K958; K959; K970; K975; K981; K998; K1023; K1029; K1033; K1049; K1050; K1061; K1067; K1100; K1172; K1173; K1180; K1202; K1226; K1247; K1254; K1301; K1323; K1381; K1397; K1398; K1423; K1451; K1452; K1464; K1466; K1490; K1506; K1528; K1535; K1576; K1586; K1594; K1624; K1658; K1734; K1735; K1736; K1761; K1777; K1778; K1798; K1813; K1821; K1838; K1866; K1877; K1926],82,Acetyl [K84; K185; K273; K281; K366; K386; K408; K416; K453; K505; K568; K664; K726; K746; K747; K751; K764; K787; K832; K844; K848; K872; K883; K917; K919; K925; K946; K947; K949; K958; K959; K970; K975; K981; K998; K1023; K1029; K1033; K1049; K1050; K1061; K1067; K1100; K1172; K1173; K1180; K1202; K1226; K1247; K1254; K1301; K1323; K1381; K1397; K1398; K1423; K1451; K1452; K1464; K1466; K1490; K1506; K1528; K1535; K1576; K1586; K1594; K1624; K1658; K1734; K1735; K1736; K1761; K1777; K1778; K1798; K1813; K1821; K1838; K1866; K1877; K1926],7602.0,8132.7,7325.6,5028.0,9100.8,5695.5,7022.4,3612.4,6846.7,4974.1,9549.011528825844,7654.784284170822,6645.255543512303,4908.547569774883,9138.074610606755,5762.841485181335,6762.858064033989,3664.3828137043165,7158.888927093232,4737.560785962522,0.590042598459176,0.27105292134770487,0.06701587840311696,-0.3700126041800704,0.5265814208710786,-0.1385284640739055,0.09232427436493573,-0.791738573109436,0.17442689485497276,-0.42116434693757476,12.6310930857106,0.226338423330953,-0.30335701519763203,-0.129382176913669,-0.6590776154422541,0.6146181848387979,-1.0088969090177902,-0.384868348696666,-1.9605336652161203,0.554727719199434,0.340583911763384,0.7096858602217201,0.0830910087986103,1.38202792986442,0.31245508224580104,0,0,0,0
Nebulin,Neb,Neb,Nebulin OS=Mus musculus GN=Neb PE=1 SV=1,E9Q1W3,17996,ENSMUSG00000026950.17,2,False,False,False,83,624,10056,1,264,Acetyl [K494; K1069; K1349; K1349; K1349; K1349; K1349; K1432; K1676; K1717; K1801; K1920; K2133; K2242; K2532; K2691; K3240; K3623; K3699; K3866; K4233; K4696; K5081; K5083; K5083; K5083; K5186; K5265; K5424; K5432; K5512; K5718; K6171; K6490; K8241; K8241; K8241; K9144; K9144; K9144; K9144; K9144; K15635; K15635; K15635; K15635; K15635; K15635; K15635; K15657; K15657; K15657; K15657; K15657; K15657; K15657; K17662; K17662; K17662; K17662; K17662],61,Acetyl [K494; K1069; K1349; K1349; K1349; K1349; K1349; K1432; K1676; K1717; K1801; K1920; K2133; K2242; K2532; K2691; K3240; K3623; K3699; K3866; K4233; K4696; K5081; K5083; K5083; K5083; K5186; K5265; K5424; K5432; K5512; K5718; K6171; K6490; K8241; K8241; K8241; K9144; K9144; K9144; K9144; K9144; K15635; K15635; K15635; K15635; K15635; K15635; K15635; K15657; K15657; K15657; K15657; K15657; K15657; K15657; K17662; K17662; K17662; K17662; K17662],38105.3,51720.4,54328.7,50773.3,48462.1,49552.0,50561.8,50078.0,46393.5,51317.6,47864.76572077973,48681.065954852456,49283.07508556525,49567.05615044771,48660.58869403631,50137.88451825222,48693.078842286646,50798.62765604162,48508.90406167933,48877.23394980202,-0.03677315580520002,-0.012376445072908027,0.005355074056303977,0.013644374151441596,-0.012983429681353797,0.030163921686172657,-0.012020479261817485,0.04905231884131389,-0.017487617949257128,-0.006574560964688558,15.583449583285,-0.0305470092467193,0.0248731309926882,-0.0223060448423951,0.0331140953970124,-0.52748862383121,0.526042082029962,-0.421946700695309,0.626394477281919,0.611198759413674,0.612161396951588,0.683422379284168,0.5473310611053549,0.19195465567112197,0.899136937266539,0,0,0,0
Myosin-3,Myh3,Myh3,Myosin-3 OS=Mus musculus GN=Myh3 PE=2 SV=2,P13541,17883,ENSMUSG00000020908.14,11,False,False,False,37,118,7914,7,7,Acetyl [K185; K271; K279; K364; K384; K406; K414; K451; K503; K566; K740; K741; K758; K826; K838; K842; K940; K941; K943; K952; K953; K964; K969; K975; K1017; K1055; K1061; K1220; K1317; K1355; K1375; K1391; K1392; K1417; K1452; K1458; K1484; K1755; K1771; K1772; K1792; K1807; K1871; K1920],44,Acetyl [K185; K271; K279; K364; K384; K406; K414; K451; K503; K566; K740; K741; K758; K826; K838; K842; K940; K941; K943; K952; K953; K964; K969; K975; K1017; K1055; K1061; K1220; K1317; K1355; K1375; K1391; K1392; K1417; K1452; K1458; K1484; K1755; K1771; K1772; K1792; K1807; K1871; K1920],3435.5,5757.8,6074.9,5792.0,5386.5,5436.8,5487.3,5459.6,4962.7,5927.2,4315.39451555922,5419.44458192221,5510.710781544568,5654.396882286421,5408.561762705838,5501.082712076883,5284.494055418903,5538.164214843341,5188.984193624021,5645.336903270351,-0.3052970056256221,0.023355539904230227,0.047448949267486995,0.08458368655848858,0.02045554260070226,0.04492613195856876,-0.013024110320065674,0.05461836942982323,-0.03933732174142612,0.08227021796781209,12.380573747634802,0.0006693185583124259,0.12815262585722198,-0.0285220055927322,0.0989613017061775,0.00579853178004304,1.3597476398838402,-0.27067980724447,0.9391634814529151,0.9955058278709191,0.20850976181604103,0.793025470477611,0.373290345420848,0.690794159494026,0.5812269510093421,0,0,0,0
"Trifunctional enzyme subunit alpha, mitochondrial",Hadha,Hadha,"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1",Q8BMS1,97212,ENSMUSG00000025745.11,5,True,True,False,87,81,1351,80,81,Acetyl [K60; K129; K166; K213; K214; K230; K259; K284; K289; K291; K295; K303; K326; K334; K350; K351; K353; K386; K390; K406; K411; K413; K414; K415; K493; K505; K516; K540; K569; K620; K644; K664; K728; K759; K760],35,Acetyl [K60; K129; K166; K213; K214; K230; K259; K284; K289; K291; K295; K303; K326; K334; K350; K351; K353; K386; K390; K406; K411; K413; K414; K415; K493; K505; K516; K540; K569; K620; K644; K664; K728; K759; K760],5621.8,7785.3,7401.7,5918.5,7570.4,6055.2,7479.1,4662.2,6546.0,6702.3,7061.64601588439,7327.799142665424,6714.287970461806,5777.891565575307,7601.406473292171,6126.794444924944,7202.678820163564,4729.289545469013,6844.477911512451,6383.577663447982,0.11480214507292352,0.1681776003968789,0.04203205555911005,-0.17465922992865224,0.2210640234371244,-0.09006990939971793,0.14333121462641785,-0.4635788869523658,0.06973813980502364,-0.030837152616728147,12.6709866435063,0.17957432975712198,-0.12289230564005198,0.03400553222456,-0.26846110317261396,0.946790836476471,-0.7935606301884242,0.19640384750417703,-1.55053575459807,0.369604055987169,0.448805809660568,0.84885964008204,0.15701047453110098,0.814329324241913,0.5188928246842239,0,0,0,0
"Myosin, heavy polypeptide 13, skeletal muscle",Myh13,Myh13,"Myosin, heavy polypeptide 13, skeletal muscle OS=Mus musculus GN=Myh13 PE=1 SV=1",B1AR69,544791,ENSMUSG00000060180.12,11,False,False,False,38,111,6777,10,12,Acetyl [K272; K353; K365; K385; K407; K415; K452; K504; K661; K723; K972; K978; K1058; K1064; K1223; K1229; K1358; K1378; K1394; K1395; K1420; K1455; K1461; K1487; K1731; K1758; K1774; K1775; K1795; K1810; K1818; K1874; K1923],33,Acetyl [K272; K353; K365; K385; K407; K415; K452; K504; K661; K723; K972; K978; K1058; K1064; K1223; K1229; K1358; K1378; K1394; K1395; K1420; K1455; K1461; K1487; K1731; K1758; K1774; K1775; K1795; K1810; K1818; K1874; K1923],98.1,128.3,236.4,170.0,173.6,141.2,187.6,147.9,123.8,118.0,123.22520796866816,120.76048835677162,214.44501617428037,165.96123445937354,174.31102237180608,142.8694965688007,180.6664634331249,150.02829646408713,129.44490764516368,112.38860753575068,-0.26876849297709704,-0.2979174125911719,0.5305418784570826,0.16078038463093947,0.23159789078995896,-0.05536798293651657,0.28326281911448437,0.015168720668344626,-0.19772769802335954,-0.4015701071326543,7.213922098616821,-0.44886467246941997,0.124384773198522,-0.411985666739469,0.161263778928474,-1.74521652420983,0.592306827202697,-1.75471512811114,0.6868491196348089,0.11649128648564301,0.568898540722109,0.114785101832203,0.510284124982866,1.32225899998519,0.3290689930091861,0,0,0,0
Tropomyosin beta chain,Tpm2,Tpm2,Tropomyosin beta chain OS=Mus musculus GN=Tpm2 PE=1 SV=1,P58774,22004,ENSMUSG00000028464.16,4,False,False,False,92,69,2158,11,15,Acetyl [K7; K12; K15; K29; K30; K48; K49; K51; K59; K70; K76; K112; K118; K136; K140; K149; K152; K161; K168; K189; K198; K205; K213; K217; K220; K226; K231; K248; K251; K264],30,Acetyl [K7; K12; K15; K29; K30; K48; K49; K51; K59; K70; K76; K112; K118; K136; K140; K149; K152; K161; K168; K189; K198; K205; K213; K217; K220; K226; K231; K248; K251; K264],3414.6,4032.2,4160.4,3740.8,3503.4,3666.7,3849.6,3573.9,3702.4,3970.8,4289.141642505752,3795.248956758959,3774.0145739910154,3651.9281521507323,3517.7490540171975,3710.053704453411,3707.322055608516,3625.328794678844,3871.218304244378,3781.971888160668,0.18707394980905612,0.010579515337241219,0.002484984355142217,-0.044956627710865504,-0.09896244098927909,-0.0221749392406565,-0.023237562073212814,-0.055503165312339675,0.03917265602146891,0.005523629803439789,11.879399294465198,0.0617185066052333,-0.122077485814078,0.07771281222605,-0.106083180193261,0.80106527823626,-1.9405896235757398,1.10493249816026,-1.5083066735864898,0.4446754024762029,0.0857552490102196,0.299161384543974,0.167325392118952,1.4963163432753301,0.283327984439064,0,0,0,0
