HumanOrthologGeneID,MouseGeneID,Symbol,Synonyms,Description,EnsemblGeneID,Matrix,IMS,MitoCarta2_List
1537.0,66445,Cyc1,2610002H19Rik|AA408921|Q9D0M3,cytochrome c-1,ENSMUSG00000022551,True,True,True
5160.0,18597,Pdha1,Pdha-1|P35486,pyruvate dehydrogenase E1 alpha 1,ENSMUSG00000031299,True,False,True
513.0,66043,Atp5d,0610008F14Rik|1500000I11Rik|AA960090|AI876556|AU020773|C85518|Q9D3D9,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",ENSMUSG00000003072,True,False,True
122961.0,74316,Isca2,0710001C05Rik|5730594E03Rik|Hbld1|Q9DCB8,iron-sulfur cluster assembly 2 homolog (S. cerevisiae),ENSMUSG00000021241,True,False,True
7384.0,22273,Uqcrc1,1110032G10Rik|Q9CZ13,ubiquinol-cytochrome c reductase core protein 1,ENSMUSG00000025651,True,False,True
5162.0,68263,Pdhb,2610103L06Rik|AL024199|C81408|Q9D051,pyruvate dehydrogenase (lipoamide) beta,ENSMUSG00000021748,False,False,True
57017.0,67914,Coq9,2310005O14Rik|C78387|Q8K1Z0,coenzyme Q9 homolog (yeast),ENSMUSG00000031782,True,False,True
6182.0,56282,Mrpl12,0610034O11Rik|1500031N16Rik|MRP-L12|Rpml12|Q9DB15,mitochondrial ribosomal protein L12,ENSMUSG00000039640,False,False,True
9377.0,12858,Cox5a,AA959768|CcOX|P12787,cytochrome c oxidase subunit Va,ENSMUSG00000000088,True,True,True
60488.0,232536,Mrps35,MDSO23|MRP-S28|MRPS28|Q8BJZ4,mitochondrial ribosomal protein S35,ENSMUSG00000040112,True,False,True
10229.0,12850,Coq7,clk-1|P97478,demethyl-Q 7,ENSMUSG00000030652,False,False,True
7386.0,66694,Uqcrfs1,4430402G14Rik|AI875505|Q9CR68,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",ENSMUSG00000038462,True,False,True
6389.0,66945,Sdha,1500032O14Rik|2310034D06Rik|4921513A11|C81073|FP|SDH2|SDHF|Q8K2B3,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",ENSMUSG00000021577,True,False,True
6390.0,67680,Sdhb,0710008N11Rik|Q9CQA3,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",ENSMUSG00000009863,True,False,True
498.0,11946,Atp5a1,AI035633|AL022851|AL023067|Atpm|D18Ertd206e|Mom2|Q03265,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1",ENSMUSG00000025428,True,False,True
135154.0,68002,1110058L19Rik,1700001E18Rik|C6orf57|Q8BTE0,RIKEN cDNA 1110058L19 gene,ENSMUSG00000026154,False,False,True
9512.0,73078,Pmpcb,3110004O18Rik|MPP11|MPPB|MPPP52|Q9CXT8,peptidase (mitochondrial processing) beta,ENSMUSG00000029017,True,False,True
6392.0,66925,Sdhd,3110001M13Rik|AVLL5809|C78570|PRO19626|Q9CXV1,"succinate dehydrogenase complex, subunit D, integral membrane protein",ENSMUSG00000000171,False,False,True
4967.0,18293,Ogdh,2210403E04Rik|2210412K19Rik|AA409584|d1401|mKIAA4192|Q60597,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),ENSMUSG00000020456,True,False,True
84274.0,52064,Coq5,1810014G04Rik|D5Ertd33e|Q9CXI0,"coenzyme Q5 homolog, methyltransferase (yeast)",ENSMUSG00000041733,True,False,True
