Name,Symbol,Accession,Description,Entrez,Gene Symbol,Ensembl,MitoCarta2_List,Matrix,IMS,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,Chromosome,Modifications,Acetyl (K) Count,Acetyl (K) Positions,DFC_126_2_Proteins,DFC_127N_2_Proteins,DKO_127C_2_Proteins,DKO_128N_2_Proteins,DKO_128C_2_Proteins,S3FL_129N_2_Proteins,S3FL_129C_2_Proteins,S3KO_130N_2_Proteins,S3KO_130C_2_Proteins,S3KO_131_2_Proteins,DFC_126_2_Proteins_norm,DFC_127N_2_Proteins_norm,DKO_127C_2_Proteins_norm,DKO_128N_2_Proteins_norm,DKO_128C_2_Proteins_norm,S3FL_129N_2_Proteins_norm,S3FL_129C_2_Proteins_norm,S3KO_130N_2_Proteins_norm,S3KO_130C_2_Proteins_norm,S3KO_131_2_Proteins_norm,DFC_126_2_Proteins_norm_log2,DFC_127N_2_Proteins_norm_log2,DKO_127C_2_Proteins_norm_log2,DKO_128N_2_Proteins_norm_log2,DKO_128C_2_Proteins_norm_log2,S3FL_129N_2_Proteins_norm_log2,S3FL_129C_2_Proteins_norm_log2,S3KO_130N_2_Proteins_norm_log2,S3KO_130C_2_Proteins_norm_log2,S3KO_131_2_Proteins_norm_log2,A,DKOvsDFC_Log2FC,S3KOvsS3FL_Log2FC,DKOvsS3KO_Log2FC,DFCvsS3FL_Log2FC,DKOvsDFC_t,S3KOvsS3FL_t,DKOvsS3KO_t,DFCvsS3FL_t,DKOvsDFC_p_value,S3KOvsS3FL_p_value,DKOvsS3KO_p_value,DFCvsS3FL_p_value,F,F.p.value,DKOvsDFC_significant,S3KOvsS3FL_significant,DKOvsS3KO_significant,DFCvsS3FL_significant
Titin,Ttn,A2ASS6,Titin OS=Mus musculus GN=Ttn PE=1 SV=1,22138,Ttn,ENSMUSG00000051747.14,False,False,False,77,2766,43559,0,4,2,Acetyl [K1131; K2473; K2502; K2591; K2594; K2698; K2703; K2709; K2714; K2771; K3026; K3167; K3290; K4547; K4571; K5661; K6535; K7600; K8385; K8753; K9307; K9326; K10914; K10920; K12441; K12447; K12702; K12857; K12888; K12905; K12960; K12988; K13043; K13107; K13141; K13289; K13314; K13326; K13364; K13401; K13461; K13466; K13472; K13517; K13719; K13821; K13855; K13866; K13888; K13944; K14192; K14203; K14213; K14393; K14436; K14576; K14782; K14857; K15147; K15284; K15422; K15521; K15635; K15911; K15927; K16134; K16143; K16276; K16843; K16853; K16993; K17122; K17198; K17226; K17230; K17378; K17618; K17683; K17696; K17890; K18085; K18268; K18551; K18568; K18571; K18667; K18764; K18859; K19098; K20049; K20093; K20164; K20174; K20179; K20181; K20223; K20293; K20476; K20495; K20593; K20700; K20772; K20844; K21177; K21185; K21188; K21256; K21315; K21337; K21356; K21458; K21470; K21732; K21774; K21841; K21847; K21904; K22277; K22353; K22412; K22475; K22607; K22633; K22709; K22896; K23360; K23748; K23916; K24069; K24090; K24181; K24188; K24406; K24442; K24626; K24691; K24707; K24725; K24830; K24998; K25111; K25263; K25524; K25571; K25602; K25781; K25885; K25914; K26047; K26335; K26345; K26571; K26586; K26599; K26654; K26856; K27107; K27218; K27460; K27671; K27688; K27751; K27967; K28105; K28163; K28169; K28680; K28754; K28834; K28849; K28865; K28961; K29160; K29221; K29330; K29413; K29663; K29823; K30225; K30569; K30596; K30875; K30906; K30912; K30935; K31144; K31242; K31303; K31314; K31374; K31584; K31620; K31862; K32101; K32219; K32242; K32426; K32613; K32720; K32893; K32918; K32949; K33082; K33188; K33320; K33348; K33422; K33731; K39941; K39941; K51139; K51139; K51139; K51139; K68748; K68748; K68748; K96177; K96177; K96177; K96177; K96177; K116989; K116989; K116989; K116989; K116989; K222410; K222410; K222410],230,Acetyl [K1131; K2473; K2502; K2591; K2594; K2698; K2703; K2709; K2714; K2771; K3026; K3167; K3290; K4547; K4571; K5661; K6535; K7600; K8385; K8753; K9307; K9326; K10914; K10920; K12441; K12447; K12702; K12857; K12888; K12905; K12960; K12988; K13043; K13107; K13141; K13289; K13314; K13326; K13364; K13401; K13461; K13466; K13472; K13517; K13719; K13821; K13855; K13866; K13888; K13944; K14192; K14203; K14213; K14393; K14436; K14576; K14782; K14857; K15147; K15284; K15422; K15521; K15635; K15911; K15927; K16134; K16143; K16276; K16843; K16853; K16993; K17122; K17198; K17226; K17230; K17378; K17618; K17683; K17696; K17890; K18085; K18268; K18551; K18568; K18571; K18667; K18764; K18859; K19098; K20049; K20093; K20164; K20174; K20179; K20181; K20223; K20293; K20476; K20495; K20593; K20700; K20772; K20844; K21177; K21185; K21188; K21256; K21315; K21337; K21356; K21458; K21470; K21732; K21774; K21841; K21847; K21904; K22277; K22353; K22412; K22475; K22607; K22633; K22709; K22896; K23360; K23748; K23916; K24069; K24090; K24181; K24188; K24406; K24442; K24626; K24691; K24707; K24725; K24830; K24998; K25111; K25263; K25524; K25571; K25602; K25781; K25885; K25914; K26047; K26335; K26345; K26571; K26586; K26599; K26654; K26856; K27107; K27218; K27460; K27671; K27688; K27751; K27967; K28105; K28163; K28169; K28680; K28754; K28834; K28849; K28865; K28961; K29160; K29221; K29330; K29413; K29663; K29823; K30225; K30569; K30596; K30875; K30906; K30912; K30935; K31144; K31242; K31303; K31314; K31374; K31584; K31620; K31862; K32101; K32219; K32242; K32426; K32613; K32720; K32893; K32918; K32949; K33082; K33188; K33320; K33348; K33422; K33731; K39941; K39941; K51139; K51139; K51139; K51139; K68748; K68748; K68748; K96177; K96177; K96177; K96177; K96177; K116989; K116989; K116989; K116989; K116989; K222410; K222410; K222410],374.8,346.7,386.8,343.5,317.2,336.6,370.2,344.1,341.0,466.8,403.7770078545137,320.01772870852534,351.39281387846444,321.27847136341506,325.91175219279336,353.9687517731967,357.9133747239194,359.00818741676864,347.29148544999964,507.627756719428,0.1595319448420085,-0.17587498584405914,-0.04094212927648577,-0.17020250713896168,-0.1495454414635251,-0.03040481188225108,-0.014416360977934417,-0.010010071213775618,-0.057879776662320026,0.48974413961730434,8.49788300701699,-0.112058505458629,0.163028683677165,-0.260848123206728,0.0142390659290665,-0.691971884942356,1.00671756313409,-1.8008865154201201,0.0802665323664061,0.506880661906142,0.341068631653464,0.106158416272655,0.9378291522801758,1.09972245953678,0.399658695815419,0,0,0,0
Titin,Ttn,E9Q8K5,Titin OS=Mus musculus GN=Ttn PE=1 SV=1,,,ENSMUSG00000051747.14,False,False,False,81,2765,43539,0,4,2,Acetyl [K1131; K2473; K2502; K2591; K2594; K2698; K2703; K2709; K2714; K2771; K3026; K3167; K3290; K3665; K3689; K4779; K5641; K6706; K7491; K7859; K8413; K8432; K10056; K10062; K10829; K10835; K10956; K11111; K11142; K11159; K11214; K11242; K11297; K11361; K11395; K11543; K11568; K11580; K11618; K11655; K11715; K11720; K11726; K11771; K11973; K12075; K12109; K12120; K12142; K12198; K12446; K12457; K12467; K12647; K12690; K12830; K13036; K13111; K13401; K13538; K13676; K13775; K13889; K14165; K14181; K14388; K14397; K14530; K15097; K15107; K15247; K15376; K15452; K15480; K15484; K15632; K15872; K15937; K15950; K16144; K16339; K16522; K16805; K16822; K16825; K16921; K17018; K17113; K17352; K18303; K18347; K18418; K18428; K18433; K18435; K18477; K18547; K18730; K18749; K18847; K18954; K19026; K19098; K19431; K19439; K19442; K19510; K19569; K19591; K19610; K19712; K19724; K19986; K20028; K20095; K20101; K20158; K20531; K20607; K20666; K20729; K20861; K20887; K20963; K21150; K21614; K22002; K22170; K22323; K22344; K22435; K22442; K22660; K22696; K22880; K22945; K22961; K22979; K23084; K23252; K23365; K23517; K23778; K23825; K23856; K24035; K24139; K24168; K24301; K24589; K24599; K24825; K24840; K24853; K24908; K25110; K25361; K25472; K25714; K25925; K25942; K26005; K26221; K26359; K26417; K26423; K26934; K27008; K27088; K27103; K27119; K27215; K27414; K27475; K27584; K27667; K27917; K28077; K28479; K28823; K28850; K29129; K29160; K29166; K29189; K29398; K29496; K29557; K29568; K29628; K29838; K29874; K30116; K30355; K30473; K30496; K30680; K30867; K30974; K31147; K31172; K31203; K31336; K31442; K31574; K31602; K31676; K31985; K36449; K36449; K47647; K47647; K47647; K47647; K63510; K63510; K63510; K89193; K89193; K89193; K89193; K89193; K108259; K108259; K108259; K108259; K108259; K206696; K206696; K206696],230,Acetyl [K1131; K2473; K2502; K2591; K2594; K2698; K2703; K2709; K2714; K2771; K3026; K3167; K3290; K3665; K3689; K4779; K5641; K6706; K7491; K7859; K8413; K8432; K10056; K10062; K10829; K10835; K10956; K11111; K11142; K11159; K11214; K11242; K11297; K11361; K11395; K11543; K11568; K11580; K11618; K11655; K11715; K11720; K11726; K11771; K11973; K12075; K12109; K12120; K12142; K12198; K12446; K12457; K12467; K12647; K12690; K12830; K13036; K13111; K13401; K13538; K13676; K13775; K13889; K14165; K14181; K14388; K14397; K14530; K15097; K15107; K15247; K15376; K15452; K15480; K15484; K15632; K15872; K15937; K15950; K16144; K16339; K16522; K16805; K16822; K16825; K16921; K17018; K17113; K17352; K18303; K18347; K18418; K18428; K18433; K18435; K18477; K18547; K18730; K18749; K18847; K18954; K19026; K19098; K19431; K19439; K19442; K19510; K19569; K19591; K19610; K19712; K19724; K19986; K20028; K20095; K20101; K20158; K20531; K20607; K20666; K20729; K20861; K20887; K20963; K21150; K21614; K22002; K22170; K22323; K22344; K22435; K22442; K22660; K22696; K22880; K22945; K22961; K22979; K23084; K23252; K23365; K23517; K23778; K23825; K23856; K24035; K24139; K24168; K24301; K24589; K24599; K24825; K24840; K24853; K24908; K25110; K25361; K25472; K25714; K25925; K25942; K26005; K26221; K26359; K26417; K26423; K26934; K27008; K27088; K27103; K27119; K27215; K27414; K27475; K27584; K27667; K27917; K28077; K28479; K28823; K28850; K29129; K29160; K29166; K29189; K29398; K29496; K29557; K29568; K29628; K29838; K29874; K30116; K30355; K30473; K30496; K30680; K30867; K30974; K31147; K31172; K31203; K31336; K31442; K31574; K31602; K31676; K31985; K36449; K36449; K47647; K47647; K47647; K47647; K63510; K63510; K63510; K89193; K89193; K89193; K89193; K89193; K108259; K108259; K108259; K108259; K108259; K206696; K206696; K206696],179.6,198.2,204.2,176.6,182.4,185.0,194.6,186.6,169.9,183.9,193.4854605407435,182.94639120285467,185.50778850564225,165.1754819294879,187.40953215625947,194.54610540119245,188.14139038701975,194.684474780497,173.03467266262447,199.98445685668983,0.05529155872930147,-0.025512643055071393,-0.005453841070193199,-0.17293404639062526,0.009260733802570975,0.06317849899680628,0.014883670737935617,0.06420423970633493,-0.10587244658430084,0.10295427512722721,7.54078979021166,-0.0712651757231955,-0.0186023954509471,-0.0768044073025038,-0.0241416270302555,-0.842246744936884,-0.21985221894975698,-1.01485297563851,-0.260458115501701,0.42204950691387805,0.8310241333312399,0.33738605755387396,0.800529582554504,0.553930698879194,0.658633965363475,0,0,0,0
Myosin-4,Myh4,Q5SX39,Myosin-4 OS=Mus musculus GN=Myh4 PE=2 SV=1,17884,Myh4,ENSMUSG00000057003.12,False,False,False,88,324,29494,82,85,11,Acetyl [K30; K35; K44; K49; K59; K73; K84; K87; K185; K273; K281; K354; K366; K386; K400; K408; K416; K437; K453; K505; K568; K614; K618; K638; K661; K667; K723; K727; K743; K744; K748; K761; K784; K829; K841; K845; K851; K857; K862; K864; K869; K873; K880; K888; K914; K916; K922; K943; K944; K946; K955; K956; K967; K972; K978; K995; K1020; K1026; K1030; K1046; K1047; K1058; K1064; K1077; K1083; K1085; K1097; K1110; K1111; K1169; K1170; K1177; K1199; K1223; K1229; K1244; K1251; K1264; K1266; K1281; K1298; K1320; K1328; K1358; K1378; K1394; K1395; K1414; K1420; K1448; K1455; K1461; K1463; K1476; K1487; K1503; K1532; K1541; K1561; K1573; K1583; K1591; K1620; K1621; K1655; K1672; K1731; K1732; K1733; K1758; K1774; K1775; K1795; K1810; K1818; K1835; K1842; K1863; K1874; K1878; K1899; K1923; K1934],123,Acetyl [K30; K35; K44; K49; K59; K73; K84; K87; K185; K273; K281; K354; K366; K386; K400; K408; K416; K437; K453; K505; K568; K614; K618; K638; K661; K667; K723; K727; K743; K744; K748; K761; K784; K829; K841; K845; K851; K857; K862; K864; K869; K873; K880; K888; K914; K916; K922; K943; K944; K946; K955; K956; K967; K972; K978; K995; K1020; K1026; K1030; K1046; K1047; K1058; K1064; K1077; K1083; K1085; K1097; K1110; K1111; K1169; K1170; K1177; K1199; K1223; K1229; K1244; K1251; K1264; K1266; K1281; K1298; K1320; K1328; K1358; K1378; K1394; K1395; K1414; K1420; K1448; K1455; K1461; K1463; K1476; K1487; K1503; K1532; K1541; K1561; K1573; K1583; K1591; K1620; K1621; K1655; K1672; K1731; K1732; K1733; K1758; K1774; K1775; K1795; K1810; K1818; K1835; K1842; K1863; K1874; K1878; K1899; K1923; K1934],68264.3,82734.9,75498.4,81937.9,67444.0,75981.6,69436.9,73801.2,78660.9,71976.1,73542.03521153383,76367.56499257851,68587.37130124574,76637.21472701125,69296.31845804147,79902.2938494662,67132.34794534661,76998.6487683302,80112.20178250404,78271.35000088523,-0.019518937566068928,0.034871983615694546,-0.1201450763887486,0.03995708929819486,-0.1053093324035963,0.10014888091347629,-0.15107993861184,0.04674508852071213,0.10393395434135044,0.07039628828082556,16.1858004195332,-0.0695089628561902,0.0991573058968207,-0.135524216879013,0.0331420518739982,-0.8174610656349941,1.1661407912474901,-1.7819609454365801,0.35580745091041105,0.435335190394551,0.27432571815138,0.10935801834483,0.730402883684118,1.12092417623707,0.39211954670887106,0,0,0,0
Myosin-1,Myh1,Q5SX40,Myosin-1 OS=Mus musculus GN=Myh1 PE=1 SV=1,17879,Myh1,ENSMUSG00000056328.14,False,False,False,84,284,20390,32,39,11,Acetyl [K30; K35; K59; K73; K84; K185; K273; K281; K366; K386; K400; K408; K416; K453; K505; K568; K664; K726; K730; K746; K747; K751; K764; K787; K832; K844; K848; K854; K860; K872; K883; K891; K917; K919; K925; K946; K947; K949; K958; K959; K970; K975; K981; K998; K1023; K1029; K1033; K1049; K1050; K1061; K1067; K1080; K1086; K1088; K1100; K1113; K1114; K1172; K1173; K1180; K1202; K1226; K1247; K1254; K1267; K1301; K1323; K1361; K1381; K1397; K1398; K1423; K1451; K1452; K1464; K1466; K1490; K1506; K1528; K1535; K1576; K1586; K1594; K1624; K1658; K1734; K1735; K1736; K1761; K1777; K1778; K1798; K1813; K1821; K1838; K1866; K1877; K1902; K1926],99,Acetyl [K30; K35; K59; K73; K84; K185; K273; K281; K366; K386; K400; K408; K416; K453; K505; K568; K664; K726; K730; K746; K747; K751; K764; K787; K832; K844; K848; K854; K860; K872; K883; K891; K917; K919; K925; K946; K947; K949; K958; K959; K970; K975; K981; K998; K1023; K1029; K1033; K1049; K1050; K1061; K1067; K1080; K1086; K1088; K1100; K1113; K1114; K1172; K1173; K1180; K1202; K1226; K1247; K1254; K1267; K1301; K1323; K1361; K1381; K1397; K1398; K1423; K1451; K1452; K1464; K1466; K1490; K1506; K1528; K1535; K1576; K1586; K1594; K1624; K1658; K1734; K1735; K1736; K1761; K1777; K1778; K1798; K1813; K1821; K1838; K1866; K1877; K1902; K1926],9735.4,10260.1,15461.5,9680.5,11711.2,9834.2,13403.0,9004.0,9029.2,9600.2,10488.075459623353,9470.47562250459,14046.173711949012,9054.253979719182,12032.84272471703,10341.650322899497,12958.165752092631,9394.099736996759,9195.789678666091,10439.862875016823,-0.01898843306122089,-0.16622961658654845,0.4024387788277757,-0.23107072255574757,0.17923911168683304,-0.03927197404989968,0.2861231133399684,-0.17791158781732364,-0.20869302870256234,-0.025635641081279914,13.3754507832251,0.209478080810172,-0.260838988845423,0.254282475186677,-0.21603459446891699,1.2097728968021,-1.5063912076816002,1.6418621869146002,-1.1389323878822701,0.25800147785468697,0.16714828307743398,0.135962382921,0.28491973581854196,1.34562321205391,0.321397694643409,0,0,0,0
"MCG140437, isoform CRA_d",Myh2,G3UW82,"MCG140437, isoform CRA_d OS=Mus musculus GN=Myh2 PE=1 SV=1",17882,Myh2,ENSMUSG00000033196.17,False,False,False,83,274,18581,44,44,11,Acetyl [K84; K185; K273; K281; K366; K386; K408; K416; K453; K505; K568; K664; K726; K746; K747; K751; K764; K787; K832; K844; K848; K872; K883; K917; K919; K925; K946; K947; K949; K958; K959; K970; K975; K981; K998; K1023; K1029; K1033; K1049; K1050; K1061; K1067; K1100; K1172; K1173; K1180; K1202; K1226; K1247; K1254; K1301; K1323; K1381; K1397; K1398; K1423; K1451; K1452; K1464; K1466; K1490; K1506; K1528; K1535; K1576; K1586; K1594; K1624; K1658; K1734; K1735; K1736; K1761; K1777; K1778; K1798; K1813; K1821; K1838; K1866; K1877; K1926],82,Acetyl [K84; K185; K273; K281; K366; K386; K408; K416; K453; K505; K568; K664; K726; K746; K747; K751; K764; K787; K832; K844; K848; K872; K883; K917; K919; K925; K946; K947; K949; K958; K959; K970; K975; K981; K998; K1023; K1029; K1033; K1049; K1050; K1061; K1067; K1100; K1172; K1173; K1180; K1202; K1226; K1247; K1254; K1301; K1323; K1381; K1397; K1398; K1423; K1451; K1452; K1464; K1466; K1490; K1506; K1528; K1535; K1576; K1586; K1594; K1624; K1658; K1734; K1735; K1736; K1761; K1777; K1778; K1798; K1813; K1821; K1838; K1866; K1877; K1926],6312.5,10610.1,10874.2,9584.1,9251.7,6532.4,12383.1,6329.1,6769.9,5396.5,6800.539920175074,9793.539380935463,9878.789391616334,8964.090239866393,9505.793687774485,6869.475561744592,11972.115371539077,6603.309267595089,6894.80535879165,5868.494406890302,-0.25417808409737574,0.27200296749981945,0.28450687986924805,0.1443297963336967,0.228979714021321,-0.23962741275183852,0.5617788057684692,-0.296638159430346,-0.2343175510817357,-0.4668369561312531,12.9856116605984,0.210359688373538,-0.49367325205609097,0.5518696856225329,-0.152163254807096,0.942021058654774,-2.2107401048514,2.76305568780881,-0.622038490788813,0.37143445632793703,0.0551754124560385,0.022555852935773,0.549762363865189,2.94207754234882,0.09296293113752199,0,0,0,0
Nebulin,Neb,E9Q1W3,Nebulin OS=Mus musculus GN=Neb PE=1 SV=1,17996,Neb,ENSMUSG00000026950.17,False,False,False,83,624,10056,1,264,2,Acetyl [K494; K1069; K1349; K1349; K1349; K1349; K1349; K1432; K1676; K1717; K1801; K1920; K2133; K2242; K2532; K2691; K3240; K3623; K3699; K3866; K4233; K4696; K5081; K5083; K5083; K5083; K5186; K5265; K5424; K5432; K5512; K5718; K6171; K6490; K8241; K8241; K8241; K9144; K9144; K9144; K9144; K9144; K15635; K15635; K15635; K15635; K15635; K15635; K15635; K15657; K15657; K15657; K15657; K15657; K15657; K15657; K17662; K17662; K17662; K17662; K17662],61,Acetyl [K494; K1069; K1349; K1349; K1349; K1349; K1349; K1432; K1676; K1717; K1801; K1920; K2133; K2242; K2532; K2691; K3240; K3623; K3699; K3866; K4233; K4696; K5081; K5083; K5083; K5083; K5186; K5265; K5424; K5432; K5512; K5718; K6171; K6490; K8241; K8241; K8241; K9144; K9144; K9144; K9144; K9144; K15635; K15635; K15635; K15635; K15635; K15635; K15635; K15657; K15657; K15657; K15657; K15657; K15657; K15657; K17662; K17662; K17662; K17662; K17662],44691.0,48339.8,50194.1,50313.1,44781.1,45619.6,46572.6,45753.6,47624.2,43263.0,48146.206664957506,44619.5356279907,45599.39513727257,47058.270327669976,46010.99232698833,47973.59735113643,45026.89474788549,47735.88202206296,48502.871440961506,47046.914393643136,0.04234101756349773,-0.06740561917492727,-0.03606643058785508,0.009367175708128173,-0.023102546545382907,0.03715950744093455,-0.05429413164041641,0.02999299825395596,0.052989041311251484,0.009018987670811995,15.512793497723699,-0.00406829966931532,0.039234321178423,-0.0472676095537121,-0.00396498870597384,-0.0677297625820191,0.6531798231393531,-0.879802646075705,-0.0602584490431466,0.9475215146167141,0.530409043672418,0.40245783581889005,0.9533021660797149,0.31635322114206393,0.81340434241041,0,0,0,0
Myosin-3,Myh3,P13541,Myosin-3 OS=Mus musculus GN=Myh3 PE=2 SV=2,17883,Myh3,ENSMUSG00000020908.14,False,False,False,37,118,7914,7,7,11,Acetyl [K185; K271; K279; K364; K384; K406; K414; K451; K503; K566; K740; K741; K758; K826; K838; K842; K940; K941; K943; K952; K953; K964; K969; K975; K1017; K1055; K1061; K1220; K1317; K1355; K1375; K1391; K1392; K1417; K1452; K1458; K1484; K1755; K1771; K1772; K1792; K1807; K1871; K1920],44,Acetyl [K185; K271; K279; K364; K384; K406; K414; K451; K503; K566; K740; K741; K758; K826; K838; K842; K940; K941; K943; K952; K953; K964; K969; K975; K1017; K1055; K1061; K1220; K1317; K1355; K1375; K1391; K1392; K1417; K1452; K1458; K1484; K1755; K1771; K1772; K1792; K1807; K1871; K1920],2144.4,2453.1,3307.1,2934.3,2263.8,2138.9,2378.7,2392.8,2416.3,1996.3,2310.190543338365,2264.307730876503,3004.3722202106246,2744.475745332369,2325.9742263998914,2249.2684586087057,2299.7529563905646,2496.468441879814,2460.880986195995,2170.9025080098418,-0.067668591109312,-0.09661039936013438,0.31138312310340766,0.18085014895076057,-0.057845329691017966,-0.1062245779647153,-0.07420154781940802,0.04420822911381528,0.023494447058599377,-0.15738550228200765,11.2414647250718,0.22693547602244601,0.0603187875222027,0.17469025615758,0.00807356765733758,2.11251990415258,0.5615016279887429,1.8181181603563001,0.0686077667240025,0.0646412950102761,0.5885307533218721,0.103321305737433,0.946842398445746,2.29515208261665,0.148291775694798,0,0,0,0
"Trifunctional enzyme subunit alpha, mitochondrial",Hadha,Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1",97212,Hadha,ENSMUSG00000025745.11,True,True,False,87,81,1351,80,81,5,Acetyl [K60; K129; K166; K213; K214; K230; K259; K284; K289; K291; K295; K303; K326; K334; K350; K351; K353; K386; K390; K406; K411; K413; K414; K415; K493; K505; K516; K540; K569; K620; K644; K664; K728; K759; K760],35,Acetyl [K60; K129; K166; K213; K214; K230; K259; K284; K289; K291; K295; K303; K326; K334; K350; K351; K353; K386; K390; K406; K411; K413; K414; K415; K493; K505; K516; K540; K569; K620; K644; K664; K728; K759; K760],6717.2,8279.5,9836.6,7922.1,8461.5,6460.2,9625.5,6744.8,6605.4,5719.2,7236.528594344555,7642.3039655097655,8936.169992236048,7409.607505060001,8693.891208005425,6793.55000060964,9306.037786075327,7037.0195364388865,6727.270316690404,6219.418736567593,-0.05894814968030637,0.019761697116718935,0.24541068681608458,-0.02484882013387235,0.20575609883171175,-0.15008028516797722,0.303921101432044,-0.09928142528345596,-0.16422471353814316,-0.27746619039278286,12.880030228231199,0.16169921478644197,-0.257244517870156,0.32243009824277097,-0.0965136344138262,1.20057503718696,-1.9099743125901698,2.67652916598749,-0.6541531623944761,0.261375327477802,0.0893596491796972,0.025941772083349,0.5298107658049911,2.61444946740789,0.11710431843551401,0,0,0,0
"Myosin, heavy polypeptide 13, skeletal muscle",Myh13,B1AR69,"Myosin, heavy polypeptide 13, skeletal muscle OS=Mus musculus GN=Myh13 PE=1 SV=1",544791,Myh13,ENSMUSG00000060180.12,False,False,False,38,111,6777,10,12,11,Acetyl [K272; K353; K365; K385; K407; K415; K452; K504; K661; K723; K972; K978; K1058; K1064; K1223; K1229; K1358; K1378; K1394; K1395; K1420; K1455; K1461; K1487; K1731; K1758; K1774; K1775; K1795; K1810; K1818; K1874; K1923],33,Acetyl [K272; K353; K365; K385; K407; K415; K452; K504; K661; K723; K972; K978; K1058; K1064; K1223; K1229; K1358; K1378; K1394; K1395; K1420; K1455; K1461; K1487; K1731; K1758; K1774; K1775; K1795; K1810; K1818; K1874; K1923],368.9,241.7,538.8,281.4,207.5,268.0,235.8,234.4,257.2,259.4,397.4208596518946,223.09860117926326,489.47892481312465,263.1958132217321,213.19889211855175,281.828952689295,227.97399719043815,244.55541740915595,261.9453667382402,282.08791793706,0.5119482338473418,-0.3210378963116094,0.8125273796786772,-0.082582824638191,-0.3865194230761535,0.016100465102635297,-0.2898500848990455,-0.18855794055880803,-0.0894534202762074,0.01742551113135704,8.12257555404729,0.0190198752202466,0.050012859996988,0.20133699388933105,0.23232997866607302,0.0558806731600216,0.14693851830923702,0.661351818751269,0.623115558510807,0.956690677619842,0.8865067554186229,0.525398578401274,0.5490861959248421,0.28207567987932297,0.837115075784121,0,0,0,0
Tropomyosin beta chain,Tpm2,P58774,Tropomyosin beta chain OS=Mus musculus GN=Tpm2 PE=1 SV=1,22004,Tpm2,ENSMUSG00000028464.16,False,False,False,92,69,2158,11,15,4,Acetyl [K7; K12; K15; K29; K30; K48; K49; K51; K59; K70; K76; K112; K118; K136; K140; K149; K152; K161; K168; K189; K198; K205; K213; K217; K220; K226; K231; K248; K251; K264],30,Acetyl [K7; K12; K15; K29; K30; K48; K49; K51; K59; K70; K76; K112; K118; K136; K140; K149; K152; K161; K168; K189; K198; K205; K213; K217; K220; K226; K231; K248; K251; K264],3943.7,3927.3,4127.1,3806.8,3760.7,3621.0,4111.2,3608.7,3795.8,3770.8,4248.600282486248,3625.0522813873426,3749.3104502528713,3560.5324156804904,3863.985896820422,3807.845663014691,3974.7527449080967,3765.04750343183,3865.8329046073572,4100.6057091637085,0.1416954156366863,-0.08729040034883617,-0.038666913977266404,-0.11319921525834609,0.00479762595826827,-0.016317197019636964,0.045572915785669466,-0.0326241350966221,0.005487077831297427,0.09054482648877737,11.911076487188001,-0.076225342069705,0.00650806369147361,-0.0701587575002645,0.0125746482609141,-0.9417311780267221,0.0804043159457362,-0.9690907819797641,0.14181846803061499,0.37157484981377503,0.9377226869686401,0.35849492991470894,0.8904314691629459,0.44339713442128004,0.7279316842575559,0,0,0,0
